"","c1","c2","weight"
"20639","LHX8","NEUROD6",0.0160475837906673
"13672","HES3","NEUROD1",0.0160522334178691
"23557","NEUROD6","SPIC",0.016063859080151
"21463","MEOX2","NEUROD1",0.0160891281504246
"23674","NEUROG1","SPIB",0.0161040022448016
"23494","NEUROD6","NFE2L3",0.0161224197262727
"1348","ASCL1","NEUROD6",0.0161315815544815
"8982","FOXA2","NEUROG1",0.0161390260033544
"15975","HNF4G","NEUROG1",0.0161402254305769
"23945","NEUROG3","ZNF423",0.0161440567892013
"23602","NEUROD6","ZNF705D",0.0161458942577891
"12554","GRHL3","NEUROD6",0.0161614571564167
"23645","NEUROG1","PPARG",0.0161616546360874
"7504","ETS2","NEUROD6",0.016170197387478
"8980","FOXA2","NEUROD1",0.016200271767686
"12557","GRHL3","NEUROG3",0.016205256051526
"23563","NEUROD6","TBX20",0.0162643451355749
"11402","GATA3","NEUROG3",0.0162717336947524
"23447","NEUROD1","TCF7L1",0.0163162184582451
"2778","BHLHA15","NEUROD1",0.0163188454731848
"19482","ISL1","NEUROD1",0.0163765952645458
"23675","NEUROG1","SPIC",0.0163916207741518
"21994","MIXL1","NEUROD6",0.0164198473272519
"23610","NEUROG1","NFATC3",0.0164237458910332
"16143","HOXA1","NEUROD1",0.0164239977215047
"21192","MEF2B","NEUROD1",0.0164416863010562
"23700","NEUROG1","ZBTB6",0.01647305875861
"23891","NEUROG3","SHOX2",0.0164943956260969
"23408","NEUROD1","PPARG",0.016536628363439
"19484","ISL1","NEUROG1",0.0165429848109131
"15803","HNF4A","NEUROD6",0.0165800120281562
"23425","NEUROD1","SMAD7",0.0166117640695107
"15112","HMX1","NEUROG3",0.0166132809361184
"19486","ISL1","NEUROG3",0.016624742469672
"22883","MYNN","NEUROD6",0.0166713062659891
"12553","GRHL3","NEUROD1",0.0166750497941746
"23382","NEUROD1","NR2E1",0.0167422964543766
"18107","HOXD9","NEUROG1",0.0167631803598875
"16481","HOXA6","NEUROD6",0.0167657348985316
"23662","NEUROG1","SMAD7",0.0167726359661577
"8776","FOXA1","NEUROG3",0.0168129529172412
"23492","NEUROD6","NFATC3",0.016862033175118
"6422","EOMES","NEUROG3",0.016871449210123
"15110","HMX1","NEUROG1",0.0168839731363302
"2062","ATOH1","MYF6",0.0168884105416508
"23595","NEUROD6","ZNF461",0.0169252530371654
"13673","HES3","NEUROD6",0.0169389055089578
"23702","NEUROG1","ZIM2",0.016954750794553
"17305","HOXC12","NEUROD1",0.0169604548898677
"23768","NEUROG2","RFX3",0.0169656519263957
"2306","BATF","NEUROD6",0.0169690250423063
"23527","NEUROD6","PPARG",0.0169719048722424
"2779","BHLHA15","NEUROD6",0.0169813074134474
"10211","FOXI1","NEUROG3",0.01699025913457
"2782","BHLHA15","NEUROG3",0.0170335087191817
"1105","ARNTL2","NEUROD1",0.0170762818110322
"23587","NEUROD6","ZNF211",0.0170771527040682
"23374","NEUROD1","NFE2",0.0170898728276438
"23501","NEUROD6","NR2E1",0.0170972624667688
"23410","NEUROD1","PRDM14",0.0171124057871046
"18574","IKZF3","NEUROD6",0.0171215929470611
"23594","NEUROD6","ZNF423",0.0171239640899412
"23720","NEUROG1","ZNF705D",0.0171352470177232
"23927","NEUROG3","UTF1",0.0171492785086803
"23914","NEUROG3","TBX20",0.0171610228170732
"20498","LHX6","NEUROD6",0.017164071345815
"2780","BHLHA15","NEUROG1",0.0171721231498594
"23718","NEUROG1","ZNF582",0.0171797943817657
"23384","NEUROD1","NR2F2",0.0171806373134611
